,업종명,인허가일자,업소명,소재지(도로명),addr,영업장면적(건물내_외부),업태명,담당부서,데이터기준일자,latitude,longitude
7163,일반음식점,2023-04-10,장승집,"서울특별시 동작구 상도로15길 52, 1층 101호 (상도동)",서울특별시 동작구 상도동 357-4,60.0,기타,보건행정과,2024-08-19,37.5027721,126.9345761
7164,일반음식점,2023-04-10,Violet sky(바이올렛 스카이),"서울특별시 동작구 동작대로27가길 26, 지하1층 (사당동)",서울특별시 동작구 사당동 137-8,133.82,기타,보건행정과,2024-08-19,37.4865129,126.9808519
7165,일반음식점,2023-04-10,썸머스테어,"서울특별시 동작구 사당로 305, 3층 (사당동)",서울특별시 동작구 사당동 147-110,92.65,기타,보건행정과,2024-08-19,37.4854506,126.9813068
7166,일반음식점,2023-04-11,할매순대국,"서울특별시 동작구 보라매로5길 51, 지하1층 126, 127호 (신대방동, 롯데타워)",서울특별시 동작구 신대방동 395-67 롯데타워,38.04,한식,보건행정과,2024-08-19,37.49073750000001,126.9231992
7167,일반음식점,2023-04-11,엘리앤크리스 피자(Eli&Chris Pizza),"서울특별시 동작구 여의대방로24길 101, 지하1층 (대방동)",서울특별시 동작구 대방동 404-4,137.18,기타,보건행정과,2024-08-19,37.4991375,126.9256019
7168,일반음식점,2023-04-12,수제빚다,"서울특별시 동작구 만양로18길 31, 1층 (노량진동)",서울특별시 동작구 노량진동 148-52,50.31,한식,보건행정과,2024-08-19,37.5130347,126.9460379
7169,일반음식점,2023-04-12,딜리버리 투스타,"서울특별시 동작구 성대로 199, 1층 (상도동)",서울특별시 동작구 상도동 202-118,29.72,한식,보건행정과,2024-08-19,37.5000096,126.940802
7170,일반음식점,2023-04-13,"달, 밤 술집","서울특별시 동작구 노량진로8길 33, 1층 (노량진동)",서울특별시 동작구 노량진동 35-1,28.0,기타,보건행정과,2024-08-19,37.5126465,126.9372184
7171,일반음식점,2023-04-13,전주불고기,"서울특별시 동작구 사당로16가길 10, 1층 (사당동)",서울특별시 동작구 사당동 265-67,59.7,한식,보건행정과,2024-08-19,37.4830426,126.9728556
7172,일반음식점,2023-04-13,수양꼬치,"서울특별시 동작구 신대방길 114, 1층 (신대방동)",서울특별시 동작구 신대방동 588-9,94.96,중국식,보건행정과,2024-08-19,37.490477,126.9084344
7173,일반음식점,2023-04-17,신전떡볶이(숭실대점),"서울특별시 동작구 상도로 372-3, 1층 (상도동)",서울특별시 동작구 상도동 494-1,63.24,일식,보건행정과,2024-08-19,37.4954416,126.9537858
7174,일반음식점,2023-04-17,가츠몽 보라매 롯데타워점,"서울특별시 동작구 보라매로5길 51, 지하1층 B114, 115,118,119호 (신대방동, 롯데타워)",서울특별시 동작구 신대방동 395-67 롯데타워,48.89,기타,보건행정과,2024-08-19,37.49073750000001,126.9231992
7175,일반음식점,2023-04-18,프랭크버거 신대방삼거리역점,"서울특별시 동작구 상도로 59, 1층 101호 (대방동, 리안)",서울특별시 동작구 대방동 394-26 리안,99.65,기타,보건행정과,2024-08-19,37.4999375,126.9272517
7176,일반음식점,2023-04-18,냉삼 1981,"서울특별시 동작구 여의대방로22길 121, 상가동 2층 2418, 2419호 (신대방동, 보라매자이 더 포레스트)",서울특별시 동작구 신대방동 724 보라매자이 더 포레스트,98.0,한식,보건행정과,2024-08-19,37.4982221,126.9266084
7177,일반음식점,2023-04-19,장뜰 떡볶이,"서울특별시 동작구 여의대방로22길 138, 1층 101호 (신대방동)",서울특별시 동작구 신대방동 349-6,29.0,분식,보건행정과,2024-08-19,37.4982868,126.9276602
7178,일반음식점,2023-04-20,사계절푸드 앤 도시락,"서울특별시 동작구 동작대로35가길 13, 1층 (사당동)",서울특별시 동작구 사당동 73-27,50.37,한식,보건행정과,2024-08-19,37.4905118,126.9807392
7179,일반음식점,2023-04-20,놉스 사당점,"서울특별시 동작구 동작대로5길 8, 1층 (사당동)",서울특별시 동작구 사당동 1031-13,153.43,기타,보건행정과,2024-08-19,37.4791399,126.9810021
7180,일반음식점,2023-04-20,우리다 노량진점,"서울특별시 동작구 노량진로 140, 메가스터디타워 1층 116호 (노량진동)",서울특별시 동작구 노량진동 57-1 메가스터디타워,30.0,한식,보건행정과,2024-08-19,37.51281669999999,126.9416667
7181,일반음식점,2023-04-20,후라이드 참 잘하는집 방배점,"서울특별시 동작구 동작대로35길 75, 2층 (사당동)",서울특별시 동작구 사당동 67-7,29.0,호프/통닭,보건행정과,2024-08-19,37.49255369999999,126.9788699
7182,일반음식점,2023-04-21,72420(칠리사이공),"서울특별시 동작구 여의대방로22길 121, 상가동 1층 1449호 (신대방동, 보라매자이 더 포레스트)",서울특별시 동작구 신대방동 724 보라매자이 더 포레스트,49.0,기타,보건행정과,2024-08-19,37.4982221,126.9266084
7183,일반음식점,2023-04-21,장성사우나식당,"서울특별시 동작구 장승배기로 113, 장성사우나내 지하2층 (노량진동)",서울특별시 동작구 노량진동 312-6 장성사우나내,61.0,한식,보건행정과,2024-08-19,37.5078315,126.9395747
7184,일반음식점,2023-04-21,헬로(Hello),"서울특별시 동작구 상도로15길 37, 1층 (상도동)",서울특별시 동작구 상도동 356-130,40.0,기타,보건행정과,2024-08-19,37.5024225,126.9338461
7185,일반음식점,2023-04-25,사당 꿀 전집,"서울특별시 동작구 동작대로7길 22, 1층 (사당동)",서울특별시 동작구 사당동 1029-22,53.06,한식,보건행정과,2024-08-19,37.4796516,126.9804108
